CustomerID,Age,Gender,Location,OrderID,ProductID,Category,Price,Quantity,Discount(%),PaymentMethod,PurchaseDate,Rating,ShipmentTime(days),LateDelivery,CourierPartner,LastLogin(days),PurchaseFrequency,CartAbandonmentRate,ClicksPerSession,Revenue,Returned,ReturnReason,ChurnRiskScore
8270,30.0,Other,Suburban,924765,63105,Beauty,153.41,3,0,Net Banking,2023-01-01 00:00:00,5.0,0.6,True,DHL,10,Medium,0.17,8,460.23,False,,0.85
1860,53.0,Male,Urban,366579,73436,Clothing,145.59,3,20,Credit Card,2023-01-01 01:00:00,3.0,1.5,True,FedEx,1,High,0.81,4,349.42,False,Damaged,0.18
6390,30.0,Male,Rural,924850,79579,Books,198.35,4,10,Net Banking,2023-01-01 02:00:00,4.0,2.8,False,FedEx,14,Medium,0.56,1,714.06,False,Wrong Item,0.6
6191,29.0,Female,Rural,157955,24242,Clothing,78.15,1,0,Debit Card,2023-01-01 03:00:00,,4.7,False,FedEx,14,High,0.74,3,78.15,False,Wrong Item,0.79
6734,54.0,Male,Suburban,421651,37133,Beauty,209.66,2,10,Credit Card,2023-01-01 04:00:00,3.0,5.9,False,Amazon Logistics,4,Medium,0.21,7,377.39,False,Damaged,0.0
7265,27.0,Other,Urban,151033,34740,Home,132.31,4,20,Credit Card,2023-01-01 05:00:00,3.0,2.0,False,DHL,51,Medium,0.4,2,423.39,False,Wrong Item,0.43
1466,,Female,Rural,841449,40976,Electronics,184.52,4,15,Debit Card,2023-01-01 06:00:00,4.0,1.0,True,UPS,39,High,0.8,4,627.37,False,Wrong Item,0.26
5426,69.0,Male,Suburban,959404,50067,Home,149.29,2,20,Debit Card,2023-01-01 07:00:00,4.0,4.2,False,Amazon Logistics,15,High,0.91,4,238.86,False,Wrong Item,0.8
6578,24.0,Male,Urban,726300,21231,Electronics,67.9,1,10,Credit Card,2023-01-01 08:00:00,1.0,6.9,True,Amazon Logistics,43,High,0.23,3,61.11,False,,0.92
9322,19.0,Female,Suburban,147219,76105,Clothing,58.31,2,5,Debit Card,2023-01-01 09:00:00,2.0,4.7,False,UPS,45,Medium,0.79,6,110.79,False,Wrong Item,0.17
2685,40.0,Female,Urban,789837,13328,Home,9.79,3,5,Net Banking,2023-01-01 10:00:00,1.0,1.9,False,FedEx,20,High,0.11,4,27.9,False,No Longer Needed,0.18
1769,56.0,Male,Rural,582996,35261,Home,-0.53,2,15,COD,2023-01-01 11:00:00,1.0,7.3,False,FedEx,44,Medium,0.43,5,-0.9,False,,0.96
7949,57.0,Other,Rural,798081,35262,Home,69.39,1,10,Net Banking,2023-01-01 12:00:00,2.0,4.0,True,Amazon Logistics,8,Low,0.94,4,62.45,False,Damaged,0.51
3433,56.0,Female,Suburban,298300,13280,Beauty,163.35,1,15,Debit Card,2023-01-01 13:00:00,5.0,1.8,True,Amazon Logistics,6,Medium,0.95,2,138.85,False,Other,0.1
6311,38.0,Other,Rural,508739,94683,Clothing,75.09,2,0,Net Banking,2023-01-01 14:00:00,5.0,5.9,False,Amazon Logistics,26,High,0.3,3,150.18,False,Damaged,0.08
6051,40.0,Male,Rural,656614,41742,Electronics,66.18,4,20,COD,2023-01-01 15:00:00,5.0,,False,UPS,16,Low,0.19,4,211.78,False,,0.96
7420,46.0,Other,Urban,474770,13590,Home,134.98,2,0,COD,2023-01-01 16:00:00,5.0,2.1,False,Amazon Logistics,1,Low,0.15,3,269.96,False,Wrong Item,0.43
2184,31.0,Male,Rural,273277,60226,Clothing,56.92,3,5,COD,2023-01-01 17:00:00,3.0,4.1,True,Amazon Logistics,39,Low,0.48,1,162.22,False,Other,0.94
5555,43.0,Male,Urban,953167,97542,Beauty,192.03,2,20,Debit Card,2023-01-01 18:00:00,1.0,3.0,False,DHL,25,High,0.09,6,307.25,False,Other,0.58
4385,68.0,Male,Urban,466540,23570,Beauty,86.92,2,0,Debit Card,2023-01-01 19:00:00,3.0,,True,UPS,44,Low,0.36,4,173.84,True,Other,0.72
7396,22.0,Male,Suburban,116375,99443,Clothing,146.53,2,5,Debit Card,2023-01-01 20:00:00,3.0,3.1,False,UPS,7,High,0.02,6,278.41,False,,0.28
9666,48.0,Other,Urban,233783,19533,Electronics,90.0,3,0,COD,2023-01-01 21:00:00,2.0,4.7,True,DHL,49,Low,0.26,5,270.0,False,Damaged,0.07
3558,42.0,Male,Rural,371326,92283,Clothing,101.23,2,20,Debit Card,2023-01-01 22:00:00,5.0,-0.5,False,FedEx,44,Low,0.9,5,161.97,False,No Longer Needed,0.79
8849,,Male,Urban,717465,23366,Clothing,156.35,4,0,Credit Card,2023-01-01 23:00:00,4.0,3.4,False,UPS,54,Low,0.45,9,625.4,False,Other,0.17
3047,67.0,Other,Urban,719354,86368,Books,111.47,3,20,Net Banking,2023-01-02 00:00:00,5.0,2.6,False,Amazon Logistics,39,Low,0.07,6,267.53,False,Damaged,0.72
3747,37.0,Female,Suburban,974580,38325,Beauty,174.69,4,0,Net Banking,2023-01-02 01:00:00,1.0,1.9,False,Amazon Logistics,15,Low,0.65,6,698.76,False,Damaged,0.08
1189,61.0,Other,Rural,534166,44798,Electronics,60.84,3,15,Credit Card,2023-01-02 02:00:00,3.0,1.9,True,FedEx,19,Medium,0.96,4,155.14,True,No Longer Needed,0.58
3734,34.0,Other,Rural,990238,49453,Books,35.05,1,0,Debit Card,2023-01-02 03:00:00,1.0,-1.0,False,DHL,31,Low,0.46,6,35.05,False,No Longer Needed,0.75
4005,62.0,Other,Rural,243992,32849,Clothing,12.53,1,0,Net Banking,2023-01-02 04:00:00,3.0,1.8,False,DHL,31,Medium,0.62,5,12.53,True,,0.02
5658,19.0,Male,Urban,646432,65943,Beauty,162.75,3,15,COD,2023-01-02 05:00:00,3.0,4.9,False,DHL,34,High,0.92,10,415.01,False,No Longer Needed,0.39
2899,42.0,Male,Rural,220270,16157,Books,145.08,3,5,Net Banking,2023-01-02 06:00:00,3.0,4.2,False,Amazon Logistics,14,High,0.42,12,413.48,False,No Longer Needed,0.59
8734,30.0,Male,Rural,839778,40178,Books,86.72,3,20,Net Banking,2023-01-02 07:00:00,4.0,2.7,False,DHL,41,Low,0.66,6,208.13,True,Other,0.8
2267,56.0,Female,Urban,757925,92537,Electronics,114.94,1,10,Net Banking,2023-01-02 08:00:00,5.0,0.9,False,DHL,56,High,0.44,1,103.45,False,Damaged,0.26
2528,45.0,Male,Suburban,188909,39030,Clothing,153.47,3,5,Debit Card,2023-01-02 09:00:00,3.0,4.2,False,Amazon Logistics,49,Low,0.96,3,437.39,False,No Longer Needed,0.82
4556,59.0,Female,Suburban,547158,61134,Electronics,90.49,1,20,Credit Card,2023-01-02 10:00:00,2.0,5.0,False,FedEx,31,Medium,0.5,3,72.39,True,Wrong Item,0.65
4890,23.0,Male,Urban,301632,75729,Books,12.0,1,0,Net Banking,2023-01-02 11:00:00,,,False,Amazon Logistics,29,High,0.89,3,12.0,False,,0.35
9838,20.0,Other,Suburban,754949,18164,Books,12.63,3,5,COD,2023-01-02 12:00:00,5.0,1.5,False,DHL,18,Low,0.51,8,36.0,False,No Longer Needed,0.3
6393,52.0,Male,Suburban,395943,96378,Electronics,45.27,3,0,Net Banking,2023-01-02 13:00:00,5.0,1.7,False,FedEx,23,Low,0.67,9,135.81,False,No Longer Needed,0.7
9792,,Female,Suburban,559993,11119,Books,105.11,3,5,Debit Card,2023-01-02 14:00:00,4.0,5.5,False,DHL,1,High,0.39,3,299.56,False,No Longer Needed,0.72
9433,28.0,Female,Rural,134510,23351,Home,52.92,1,5,Debit Card,2023-01-02 15:00:00,3.0,1.2,False,Amazon Logistics,20,High,0.92,3,50.27,False,No Longer Needed,0.64
8513,37.0,Male,Suburban,597229,66063,Beauty,151.67,2,10,COD,2023-01-02 16:00:00,2.0,3.7,False,Amazon Logistics,41,High,0.65,3,273.01,False,,0.44
3612,22.0,Other,Rural,187919,82076,Clothing,36.32,3,15,Net Banking,2023-01-02 17:00:00,4.0,0.3,False,FedEx,59,Low,0.02,3,92.62,False,Other,0.02
8041,36.0,Male,Suburban,213043,55162,Beauty,65.33,2,5,Net Banking,2023-01-02 18:00:00,4.0,2.5,True,DHL,15,Low,0.02,3,124.13,False,Other,0.57
7235,39.0,Male,Rural,832726,41760,Clothing,8.93,2,0,COD,2023-01-02 19:00:00,3.0,3.9,True,DHL,39,Low,0.68,9,17.86,False,,0.61
6486,36.0,Male,Urban,522191,59678,Books,77.74,2,10,Credit Card,2023-01-02 20:00:00,3.0,,True,FedEx,38,Medium,0.11,3,139.93,False,,0.24
